address,city,state,postalCode,price,size_sqft,num_rooms,year_built
177 HOLTON St,Wilson'S Mills,NC,27577,265990.0,1418.0,3,0
1604 2ND ST,Trevose,,19053,183900.0,1290.0,3,1960
1512 BRIGHT CORAL Trl,Wendell,NC,27591,464990.0,3037.0,5,2025
102 Holly Rd,Edgewater,MD,21037,800000.0,4128.0,4,2009
1450 Gulf To Bay Blvd,Clearwater,FL,33755,694000.0,1596.0,7,1950
5111 OLEY Tpke RD,Reading,,19606,135000.0,1040.0,3,1950
1129 Pinellas St,Clearwater,FL,33756,3156000.0,1500.0,0,1957
2975 Bay Vw Dr,Safety Harbor,FL,34695,89000.0,1076.0,0,1986
1637 Elmwood Ave,Berwyn,IL,60402,200000.0,2100.0,4,1939
11085 4th St E,Treasure Island,FL,33706,0.0,2239.0,0,1959
152 Global Ave,Fuquay Varina,NC,27526,325000.0,1749.0,3,2025
1022 TEXAS ASH LN,Georgetown,TX,78628,829914.0,2391.0,4,2021
412 E Jefferson St,Hart,MI,49420,180000.0,1941.0,3,1900
1601 W PASSYUNK AVE,Philadelphia,PA,19145,160000.0,2760.0,0,1920
17447 W 169th Ter,Olathe,KS,66062,599950.0,2405.0,4,2024
764 EMERALD BAY Cir,Raleigh,NC,27610,589990.0,3420.0,5,2025
6477 Japonica Ln,White House,TN,37188,329990.0,1550.0,3,2025
60 Rnch Rd,Clayton,NC,27520,376490.0,2368.0,5,0
8245 Quarterfield Rd,Severn,MD,21144,395000.0,1670.0,5,1965
1812 WESLEY AVE,Berwyn,IL,60402-4989,240231.0,3240.0,5,1947
108 Tombolo Way,Raleigh,NC,27610,386990.0,3420.0,5,0
1801 18TH ST,Berwyn,IL,60402,308645.0,1884.0,4,1937
308 Black Riv Dr,Madisonville,LA,70447,625000.0,2994.0,4,2001
2961 Bay Vw Dr,Safety Harbor,FL,34695,57000.0,984.0,3,1986
23 Westfield Cmns,Penfield,NY,14625,499000.0,2370.0,4,0
130 Rushing Rd,Rison,AR,71665,230000.0,1386.0,3,1978
909 Middlefork Rd,Garden Valley,ID,83622,615700.0,1784.0,3,1992
9505 Kingscroft Ter Unit 9505P,Perry Hall,MD,21128,345000.0,1658.0,2,2003
1603 Lennox Rd,Statesboro,GA,30461,492450.0,2784.0,4,2006
177 Washington St,St Michael,PA,15951,125000.0,1998.0,0,0
740 Olde Trl Rd,Hummelstown,PA,17036,1030000.0,4589.0,6,1997
4425 Emeline Way,Fuquay-Varina,NC,27526,636990.0,3470.0,4,0
125 Drennan Dr,Fayetteville,GA,30215,384900.0,1852.0,3,1986
810 Callaway Church Rd,Lagrange,GA,30241,547000.0,3244.0,4,2003
